Year     Age        Female             Male            Total
1899      0          64039.00         79768.56        143807.56
1899      1          12119.00         12822.09         24941.09
1899      2           6983.00          7014.05         13997.05
1899      3           4329.00          4470.04          8799.04
1899      4           3220.00          3111.02          6331.02
1899      5           2284.00          2222.02          4506.02
1899      6           1834.00          1773.01          3607.01
1899      7           1475.00          1460.01          2935.01
1899      8           1353.00          1296.01          2649.01
1899      9           1175.00          1180.01          2355.01
1899     10           1174.00          1051.00          2225.00
1899     11           1162.00          1050.00          2212.00
1899     12           1100.00          1011.01          2111.01
1899     13           1251.00           987.01          2238.01
1899     14           1373.00          1137.01          2510.01
1899     15           1535.00          1230.01          2765.01
1899     16           1693.00          1493.02          3186.02
1899     17           1871.00          1795.02          3666.02
1899     18           1986.00          1982.02          3968.02
1899     19           1959.00          2043.01          4002.01
1899     20           2187.00          2364.02          4551.02
1899     21           2193.00          2724.02          4917.02
1899     22           2377.00          2936.02          5313.02
1899     23           2370.00          2601.02          4971.02
1899     24           2291.00          2568.02          4859.02
1899     25           2390.00          2291.02          4681.02
1899     26           2393.00          2460.01          4853.01
1899     27           2135.00          2191.01          4326.01
1899     28           2201.00          2183.02          4384.02
1899     29           2151.00          2139.01          4290.01
1899     30           2250.00          2314.02          4564.02
1899     31           2116.00          2277.02          4393.02
1899     32           2383.00          2552.02          4935.02
1899     33           2277.00          2506.01          4783.01
1899     34           2261.00          2536.02          4797.02
1899     35           2385.00          2605.02          4990.02
1899     36           2392.00          2844.02          5236.02
1899     37           2322.00          2710.02          5032.02
1899     38           2437.00          2841.02          5278.02
1899     39           2297.00          2711.02          5008.02
1899     40           2406.00          3121.02          5527.02
1899     41           2054.00          2710.01          4764.01
1899     42           2309.00          2995.02          5304.02
1899     43           2296.00          2860.02          5156.02
1899     44           2207.00          2899.02          5106.02
1899     45           2403.00          3153.03          5556.03
1899     46           2416.00          3232.02          5648.02
1899     47           2493.00          3263.02          5756.02
1899     48           2761.00          3602.03          6363.03
1899     49           2673.00          3397.03          6070.03
1899     50           2974.00          3732.03          6706.03
1899     51           2786.00          3401.02          6187.02
1899     52           2997.00          3885.03          6882.03
1899     53           3130.00          3847.03          6977.03
1899     54           3161.00          4217.03          7378.03
1899     55           3416.00          4323.03          7739.03
1899     56           3679.00          4512.03          8191.03
1899     57           3769.00          4722.03          8491.03
1899     58           4126.00          5067.04          9193.04
1899     59           3944.00          4921.03          8865.03
1899     60           4673.00          5542.04         10215.04
1899     61           4274.00          5050.04          9324.04
1899     62           4959.00          5575.04         10534.04
