France, Total Population, Exposure to risk (period 1x1)     Last modified: 17-Jul-2007, MPv5 (May07)

   Year      Age       Female          Male         Total
   1899        0       366360.78    370027.44    736388.22 
   1899        1       344201.60    344778.88    688980.48 
   1899        2       344958.34    343363.99    688322.33 
   1899        3       337317.17    333970.34    671287.51 
   1899        4       329850.32    326653.05    656503.37 
   1899        5       329942.27    328398.32    658340.59 
   1899        6       324348.76    323103.21    647451.97 
   1899        7       316795.83    316099.83    632895.66 
   1899        8       318999.83    320053.40    639053.22 
   1899        9       321144.07    321747.23    642891.30 
   1899       10       322441.20    322896.40    645337.60 
   1899       11       325490.00    330095.49    655585.49 
   1899       12       323840.83    330845.86    654686.69 
   1899       13       327990.32    333045.66    661035.98 
   1899       14       333638.38    337645.56    671283.94 
   1899       15       331689.14    335542.15    667231.29 
   1899       16       334737.85    333641.07    668378.92 
   1899       17       328886.83    322888.20    651775.03 
   1899       18       329637.22    312890.35    642527.57 
   1899       19       328184.10    316934.84    645118.94 
   1899       20       322939.73    313751.48    636691.20 
   1899       21       325938.44    315750.98    641689.42 
   1899       22       325535.54    319648.07    645183.61 
   1899       23       335841.52    322104.09    657945.61 
   1899       24       329888.79    322951.17    652839.97 
   1899       25       316091.01    315506.53    631597.54 
   1899       26       314336.79    313252.73    627589.53 
   1899       27       288811.48    288174.90    576986.38 
   1899       28       287672.73    269738.13    557410.86 
   1899       29       289890.39    278254.05    568144.44 
   1899       30       274442.88    274953.71    549396.59 
   1899       31       274438.03    275048.54    549486.57 
   1899       32       276241.32    279151.03    555392.35 
   1899       33       285140.70    282301.73    567442.44 
   1899       34       283641.04    278751.30    562392.34 
   1899       35       278886.54    274692.52    553579.07 
   1899       36       278290.65    273345.28    551635.93 
   1899       37       270536.60    269591.60    540128.20 
   1899       38       265742.17    268047.94    533790.11 
   1899       39       263179.96    269982.82    533162.78 
   1899       40       252544.93    258745.63    511290.57 
   1899       41       237543.62    238242.83    475786.46 
   1899       42       235486.77    234434.86    469921.63 
   1899       43       239896.25    236646.34    476542.60 
   1899       44       232485.66    228983.70    461469.36 
   1899       45       223436.23    223929.83    447366.06 
   1899       46       231832.84    228927.83    460760.67 
   1899       47       240635.94    233031.83    473667.76 
   1899       48       235139.76    229133.58    464273.33 
   1899       49       227281.17    218075.32    445356.48 
   1899       50       235892.32    213790.73    449683.05 
   1899       51       221741.10    200341.16    422082.26 
   1899       52       201171.89    189562.95    390734.83 
   1899       53       216829.68    201675.78    418505.46 
   1899       54       216737.14    202333.80    419070.95 
   1899       55       200976.61    192072.51    393049.11 
   1899       56       198528.47    190424.86    388953.33 
   1899       57       200979.68    191727.65    392707.33 
   1899       58       194932.41    185381.75    380314.16 
   1899       59       184726.39    174872.40    359598.79 
   1899       60       174715.20    166416.88    341132.09 
   1899       61       170174.70    160277.45    330452.16 
   1899       62       167303.25    155106.16    322409.41 
   1899       63       171207.58    156011.18    327218.76 
   1899       64       164062.97    148018.30    312081.27 
   1899       65       148956.35    133565.50    282521.85 
   1899       66       142811.13    126273.27    269084.40 
   1899       67       139078.92    122689.52    261768.44 
   1899       68       136997.91    121514.79    258512.70 
   1899       69       131743.44    115654.46    247397.90 
   1899       70       121522.02    106542.57    228064.59 
   1899       71       110184.76     98445.68    208630.44 
   1899       72       101218.62     89837.76    191056.38 
   1899       73        98138.16     83702.82    181840.98 
   1899       74        89521.03     76491.26    166012.29 
   1899       75        77125.23     66348.88    143474.11 
   1899       76        70214.50     59339.66    129554.16 
   1899       77        65128.74     54047.06    119175.80 
   1899       78        59223.01     48147.46    107370.47 
   1899       79        51114.61     41137.92     92252.53 
   1899       80        43611.64     33378.56     76990.20 
   1899       81        35734.75     26867.48     62602.22 
   1899       82        31262.64     23072.15     54334.78 
   1899       83        26352.15     18908.39     45260.54 
   1899       84        21092.94     14648.01     35740.96 
   1899       85        16265.12     11065.46     27330.58 
   1899       86        12329.76      8168.92     20498.68 
   1899       87         9432.74      5966.25     15398.99 
   1899       88         7262.11      4375.24     11637.35 
   1899       89         5359.04      3149.61      8508.65 
   1899       90         3775.98      2175.81      5951.80 
   1899       91         2633.93      1447.44      4081.37 
   1899       92         1810.24       951.87      2762.11 
   1899       93         1206.36       620.02      1826.38 
   1899       94          783.09       387.35      1170.44 
   1899       95          493.61       230.77       724.38 
   1899       96          305.46       132.59       438.05 
   1899       97          179.31        74.51       253.82 
   1899       98          102.85        41.62       144.47 
   1899       99           61.38        23.48        84.87 
   1899      100           33.25        12.69        45.94 
   1899      101           16.87         5.93        22.80 
   1899      102            8.59         2.53        11.12 
   1899      103            4.30         0.87         5.18 
   1899      104            1.76         0.06         1.82 
   1899      105            0.53         0.00         0.53 
   1899      106            0.04         0.00         0.04 
   1899      107            0.00         0.00         0.00 
   1899      108            0.00         0.00         0.00 
